model,precision,recall,threshold,average_precision
LASSO_logistic,0.06546355272469923,1.0,0.00630979612938117,0.2626747197560961
LASSO_logistic,0.06548672566371681,1.0,0.017843622244558432,0.2626747197560961
LASSO_logistic,0.06550991501416431,1.0,0.01856824691848155,0.2626747197560961
LASSO_logistic,0.06553312079348211,1.0,0.021009124097835404,0.2626747197560961
LASSO_logistic,0.06555634301913536,1.0,0.022519192766454848,0.2626747197560961
LASSO_logistic,0.06557958170861397,1.0,0.022836910499583953,0.2626747197560961
LASSO_logistic,0.06560283687943262,1.0,0.02513036970230328,0.2626747197560961
LASSO_logistic,0.0656261085491309,1.0,0.025318271276264313,0.2626747197560961
LASSO_logistic,0.06564939673527324,1.0,0.025332449062142243,0.2626747197560961
LASSO_logistic,0.06567270145544905,1.0,0.02620826136686181,0.2626747197560961
LASSO_logistic,0.06569602272727272,1.0,0.027758731173464012,0.2626747197560961
LASSO_logistic,0.06571936056838366,1.0,0.028539774797059735,0.2626747197560961
LASSO_logistic,0.06574271499644634,1.0,0.030032428315852906,0.2626747197560961
LASSO_logistic,0.06576608602915038,1.0,0.030694404944838116,0.2626747197560961
LASSO_logistic,0.06578947368421052,1.0,0.030793288017958134,0.2626747197560961
LASSO_logistic,0.06581287797936677,1.0,0.03110648095454413,0.2626747197560961
LASSO_logistic,0.06583629893238434,1.0,0.03151290166283897,0.2626747197560961
LASSO_logistic,0.06585973656105376,1.0,0.0326659586470919,0.2626747197560961
LASSO_logistic,0.06588319088319089,1.0,0.03327056286141417,0.2626747197560961
LASSO_logistic,0.06590666191663698,1.0,0.03464117409000894,0.2626747197560961
LASSO_logistic,0.06593014967925873,1.0,0.03481762997019083,0.2626747197560961
LASSO_logistic,0.0659536541889483,1.0,0.035340783958799214,0.2626747197560961
LASSO_logistic,0.06597717546362339,1.0,0.037469266617651834,0.2626747197560961
LASSO_logistic,0.06600071352122726,1.0,0.03788522136598204,0.2626747197560961
LASSO_logistic,0.06602426837972876,1.0,0.039449766723111006,0.2626747197560961
LASSO_logistic,0.06604784005712246,1.0,0.04033023334443031,0.2626747197560961
LASSO_logistic,0.06607142857142857,1.0,0.040608953583517945,0.2626747197560961
LASSO_logistic,0.0660950339406931,1.0,0.0409838380449241,0.2626747197560961
LASSO_logistic,0.06611865618298784,1.0,0.04114015426101911,0.2626747197560961
LASSO_logistic,0.06614229531641044,1.0,0.04251579173856521,0.2626747197560961
LASSO_logistic,0.0661659513590844,1.0,0.042556907892300946,0.2626747197560961
LASSO_logistic,0.06618962432915922,1.0,0.043546319280280764,0.2626747197560961
LASSO_logistic,0.0662133142448103,1.0,0.045014680601207946,0.2626747197560961
LASSO_logistic,0.06623702112423917,1.0,0.0453508120810535,0.2626747197560961
LASSO_logistic,0.06626074498567336,1.0,0.04574868993025871,0.2626747197560961
LASSO_logistic,0.06628448584736654,1.0,0.04592692942732507,0.2626747197560961
LASSO_logistic,0.06630824372759857,1.0,0.04613744475303197,0.2626747197560961
LASSO_logistic,0.06633201864467551,1.0,0.046464382548627656,0.2626747197560961
LASSO_logistic,0.0663558106169297,1.0,0.04702843633604558,0.2626747197560961
LASSO_logistic,0.06637961966271977,1.0,0.04717985672270068,0.2626747197560961
LASSO_logistic,0.06640344580043073,1.0,0.04779818420675312,0.2626747197560961
LASSO_logistic,0.06642728904847396,1.0,0.047815174917263524,0.2626747197560961
LASSO_logistic,0.06645114942528736,1.0,0.047995462588423854,0.2626747197560961
LASSO_logistic,0.06647502694933526,1.0,0.04855273588380195,0.2626747197560961
LASSO_logistic,0.06649892163910856,1.0,0.04902627017498386,0.2626747197560961
LASSO_logistic,0.06652283351312477,1.0,0.049348423636615506,0.2626747197560961
LASSO_logistic,0.06654676258992806,1.0,0.04953443537286169,0.2626747197560961
LASSO_logistic,0.06657070888808925,1.0,0.04977258687824596,0.2626747197560961
LASSO_logistic,0.0665946724262059,1.0,0.04978197765541673,0.2626747197560961
LASSO_logistic,0.06661865322290242,1.0,0.04987607398158261,0.2626747197560961
