model,precision,recall,threshold,average_precision
first_visit_LASSO_logistic,0.014861995753715499,1.0,2.8611690683794854e-10,0.5908208210674911
first_visit_LASSO_logistic,0.014867256637168142,1.0,2.098540799664456e-07,0.5908208210674911
first_visit_LASSO_logistic,0.014872521246458924,1.0,8.202639856603411e-07,0.5908208210674911
first_visit_LASSO_logistic,0.01487778958554729,1.0,9.03772625813131e-07,0.5908208210674911
first_visit_LASSO_logistic,0.014883061658398299,1.0,1.1730065895196472e-06,0.5908208210674911
first_visit_LASSO_logistic,0.01488833746898263,1.0,1.1804551904000774e-06,0.5908208210674911
first_visit_LASSO_logistic,0.014893617021276596,1.0,1.4673842057012494e-06,0.5908208210674911
first_visit_LASSO_logistic,0.01489890031926215,1.0,1.5926274427281314e-06,0.5908208210674911
first_visit_LASSO_logistic,0.014904187366926898,1.0,1.626766840049136e-06,0.5908208210674911
first_visit_LASSO_logistic,0.014909478168264111,1.0,1.672975758561456e-06,0.5908208210674911
first_visit_LASSO_logistic,0.014914772727272728,1.0,2.042413410697165e-06,0.5908208210674911
first_visit_LASSO_logistic,0.01492007104795737,1.0,2.386384644478893e-06,0.5908208210674911
first_visit_LASSO_logistic,0.014925373134328358,1.0,2.818408991194089e-06,0.5908208210674911
first_visit_LASSO_logistic,0.014930678990401706,1.0,2.8380866799942588e-06,0.5908208210674911
first_visit_LASSO_logistic,0.014935988620199146,1.0,2.9017649578803062e-06,0.5908208210674911
first_visit_LASSO_logistic,0.014941302027748132,1.0,3.096322746719247e-06,0.5908208210674911
first_visit_LASSO_logistic,0.01494661921708185,1.0,3.5558941091186204e-06,0.5908208210674911
first_visit_LASSO_logistic,0.014951940192239232,1.0,3.750783739033358e-06,0.5908208210674911
first_visit_LASSO_logistic,0.014957264957264958,1.0,4.023436475159807e-06,0.5908208210674911
first_visit_LASSO_logistic,0.014962593516209476,1.0,4.035181041752235e-06,0.5908208210674911
first_visit_LASSO_logistic,0.01496792587312901,1.0,4.336021527959746e-06,0.5908208210674911
first_visit_LASSO_logistic,0.014973262032085561,1.0,4.447661792206107e-06,0.5908208210674911
first_visit_LASSO_logistic,0.014978601997146932,1.0,4.680682716397815e-06,0.5908208210674911
first_visit_LASSO_logistic,0.014983945772386728,1.0,4.9119202722761e-06,0.5908208210674911
first_visit_LASSO_logistic,0.014989293361884369,1.0,5.240857254344195e-06,0.5908208210674911
first_visit_LASSO_logistic,0.014994644769725098,1.0,5.885696373727002e-06,0.5908208210674911
first_visit_LASSO_logistic,0.015,1.0,5.917491833616771e-06,0.5908208210674911
first_visit_LASSO_logistic,0.015005359056806002,1.0,6.227897391354303e-06,0.5908208210674911
first_visit_LASSO_logistic,0.01501072194424589,1.0,6.353017953369403e-06,0.5908208210674911
first_visit_LASSO_logistic,0.015016088666428316,1.0,6.875046581274297e-06,0.5908208210674911
first_visit_LASSO_logistic,0.015021459227467811,1.0,7.000746186693671e-06,0.5908208210674911
first_visit_LASSO_logistic,0.015026833631484795,1.0,7.270610872057933e-06,0.5908208210674911
first_visit_LASSO_logistic,0.015032211882605583,1.0,7.310778845122187e-06,0.5908208210674911
first_visit_LASSO_logistic,0.015037593984962405,1.0,7.97297917526273e-06,0.5908208210674911
first_visit_LASSO_logistic,0.01504297994269341,1.0,8.041476782917024e-06,0.5908208210674911
first_visit_LASSO_logistic,0.015048369759942674,1.0,8.075963747446713e-06,0.5908208210674911
first_visit_LASSO_logistic,0.015053763440860216,1.0,8.252795212867585e-06,0.5908208210674911
first_visit_LASSO_logistic,0.015059160989602008,1.0,8.492911238238751e-06,0.5908208210674911
first_visit_LASSO_logistic,0.015064562410329985,1.0,9.512485045649165e-06,0.5908208210674911
first_visit_LASSO_logistic,0.015069967707212056,1.0,9.554687099544772e-06,0.5908208210674911
first_visit_LASSO_logistic,0.01507537688442211,1.0,9.562830861058672e-06,0.5908208210674911
first_visit_LASSO_logistic,0.015080789946140035,1.0,9.886472680294384e-06,0.5908208210674911
first_visit_LASSO_logistic,0.015086206896551725,1.0,1.0024029691829395e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015091627739849083,1.0,1.0482158654572704e-05,0.5908208210674911
first_visit_LASSO_logistic,0.01509705248023005,1.0,1.0712300388506827e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015102481121898598,1.0,1.0808676381307002e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015107913669064749,1.0,1.093347929213227e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015113350125944584,1.0,1.0950199616468422e-05,0.5908208210674911
first_visit_LASSO_logistic,0.01511879049676026,1.0,1.1143283589863974e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015124234785740008,1.0,1.1707879348268153e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015129682997118156,1.0,1.1794565115791565e-05,0.5908208210674911
first_visit_LASSO_logistic,0.015135135135135135,1.0,1.183856512102726e-05,0.5908208210674911
