pattern,n,npsle_events,npsle_rate_percent,median_duration_years
低C3+高CRP+高粒细胞,138,23,16.666666666666664,3.169062286105407
促炎症型(CRP↑+粒细胞↑),270,41,15.185185185185185,3.0075290896646134
低C3+高粒细胞,691,88,12.735166425470332,1.9548254620123204
低C3下降型,319,23,7.210031347962382,3.5044490075290895
稳定型,6797,354,5.208180079446815,0.6707734428473648
