model,fpr,tpr,threshold,auc
EWS,0.0,0.0,inf,0.8449171704549947
EWS,0.0,0.007194244604316547,0.8148148148148148,0.8449171704549947
EWS,0.00021549402004094386,0.007194244604316547,0.7037037037037037,0.8449171704549947
EWS,0.0005387350501023597,0.007194244604316547,0.6666666666666666,0.8449171704549947
EWS,0.0009697230901842474,0.014388489208633094,0.6296296296296297,0.8449171704549947
EWS,0.0021549402004094388,0.02158273381294964,0.5925925925925926,0.8449171704549947
EWS,0.0037711453507165175,0.03597122302158273,0.5555555555555556,0.8449171704549947
EWS,0.006033832561146428,0.050359712230215826,0.5185185185185185,0.8449171704549947
EWS,0.010666953992026721,0.07913669064748201,0.48148148148148145,0.8449171704549947
EWS,0.016269798513091262,0.1366906474820144,0.4444444444444444,0.8449171704549947
EWS,0.025536041374851846,0.17985611510791366,0.4074074074074074,0.8449171704549947
EWS,0.03738821247710376,0.2517985611510791,0.37037037037037035,0.8449171704549947
EWS,0.05516646913048163,0.3237410071942446,0.3333333333333333,0.8449171704549947
EWS,0.08070251050533347,0.4244604316546763,0.2962962962962963,0.8449171704549947
EWS,0.11690550587221205,0.5323741007194245,0.25925925925925924,0.8449171704549947
EWS,0.16021980390044177,0.6258992805755396,0.2222222222222222,0.8449171704549947
EWS,0.2145242969507596,0.762589928057554,0.18518518518518517,0.8449171704549947
EWS,0.28886973386488524,0.8201438848920863,0.14814814814814814,0.8449171704549947
EWS,0.3957547678051934,0.8848920863309353,0.1111111111111111,0.8449171704549947
EWS,0.5357181338217865,0.9928057553956835,0.07407407407407407,0.8449171704549947
EWS,0.7033724814136407,1.0,0.037037037037037035,0.8449171704549947
EWS,1.0,1.0,0.0,0.8449171704549947
