risk_group,n,events,mean_score,event_rate_percent
low,7846,52,1.6052765740504715,0.662758093295947
moderate,1312,62,7.416158536585366,4.725609756097561
high,239,22,12.217573221757322,9.205020920502092
very_high,23,3,17.043478260869566,13.043478260869565
