marker,n_npsle,n_non_npsle,mean_slope_npsle,sd_slope_npsle,mean_slope_non_npsle,sd_slope_non_npsle,mannwhitney_p,ttest_p
C3,373,4259,0.1564896815498158,0.5194049221592689,0.08347500416966125,0.3593299080156028,0.002280446821398007,0.008130995563712709
CRP,341,2832,-1.2473434651096205,47.40461929254693,-1.3592389837008523,68.55846603961417,0.3528231649303709,0.968938833795636
Granulocyte,443,4796,1.4767659425795023,17.06405161922909,0.4128646048474164,17.46671540447673,0.011292470440839614,0.21074607687381902
