Feature,N_total,N_APS+,N_APS-,Median_APS+,Median_APS-,Mean_APS+,Mean_APS-,Cohen_d,Pct_diff,p_value,log10_p,p_adj,significant
生理管型_镜检__尿液_定量,8010,625,7385,0.8200,0.7900,1.0131,0.9213,0.0874,3.80,1.8915646595750545e-06,5.723178808578644,1.0758274001333122e-05,True
白细胞计数_WBC#__静脉血_定量,9183,656,8527,6.2525,6.0600,6.8160,6.6569,0.0554,3.18,0.01136989354985569,1.9442436013568287,0.022014049213550376,True
白蛋白_ALB__静脉血_定量,8768,656,8112,41.2500,41.4500,41.1530,41.2488,-0.0158,-0.48,0.13882017961196955,0.8575473980230068,0.2141124804184615,False
磷_P__静脉血_定量,6202,625,5577,1.2400,1.2400,1.2719,1.2760,-0.0143,0.00,0.40513086349131366,0.39240467033555737,0.5421604202604344,False
类风湿因子_RF__静脉血_定量,5148,604,4544,8.1000,10.9000,14.8971,44.8310,-0.1757,-25.69,2.146667093019498e-31,30.66823530110395,9.767335273238716e-30,True
粒细胞计数_静脉血_定量,9178,656,8522,4.0900,3.9100,4.6176,4.4660,0.0596,4.60,0.0014625120138981743,2.834900557691421,0.0033272148316183464,True
红细胞计数_RBC#__静脉血_定量,9179,656,8523,4.2200,4.2600,4.1349,4.1874,-0.0849,-0.94,0.16873588209477397,0.77279255381444,0.25591608784374054,False
肌酐_Crea__静脉血_定量,8639,656,7983,58.0000,55.5000,73.2172,69.8642,0.0473,4.50,1.158106567416391e-06,5.936251475572799,7.025846508992772e-06,True
肌酸激酶_CK__静脉血_定量,5176,605,4571,36.0000,39.0000,47.7826,74.2762,-0.0898,-7.69,0.00028254638463736336,3.548910245407628,0.0008034912813125021,True
胱抑素_Cys_C__静脉血_定量,7065,640,6425,1.0300,1.0100,1.3201,1.2705,0.0525,1.98,0.09807944053818785,1.008422020108193,0.16528202016620544,False
血小板计数_PLT#__静脉血_定量,9182,656,8526,197.0000,204.0000,196.1959,205.7424,-0.1314,-3.43,0.0015579424061659304,2.8074486013147095,0.003457872169782919,True
血红蛋白_Hb__静脉血_定量,9182,656,8526,123.0000,125.0000,120.1471,122.3805,-0.1187,-1.60,0.006941101660542875,2.1585715948010007,0.01373130980672612,True
补体C3_静脉血_定量,8853,651,8202,0.8600,0.8100,0.8784,0.8123,0.2644,6.17,3.144168331533879e-09,8.502494210883485,3.576491477119788e-08,True
补体C4_静脉血_定量,8823,651,8172,0.1500,0.1500,0.1610,0.1560,0.0674,0.00,0.5096175557335978,0.29275561947392137,0.5945538150225308,False
钠离子_Na+__静脉血_定量,6438,632,5806,141.4000,141.6000,141.4936,141.5169,-0.0084,-0.14,0.11831803370871788,0.9269490563586061,0.1856369149567815,False
钾离子_K+__静脉血_定量,6457,632,5825,3.9375,3.9500,3.9908,4.0188,-0.0630,-0.32,0.32392654164914003,0.4895534656375281,0.4441339363152077,False
饮酒史,4503,586,3917,0.0000,0.0000,0.0427,0.0288,0.0802,0.00,0.07041970439071904,1.1523058023523012,0.12090930376519685,False
高密度脂蛋白胆固醇_HDL_C__静脉血_定量,4623,588,4035,1.2000,1.2100,1.2412,1.2554,-0.0318,-0.83,0.8447323270601679,0.07328088548444925,0.8637150759828683,False
