column,dtype,n_unique,n_missing,missing_pct,data_type
acr_神经_精神,float64,2,64679,81.2,quantitative
acr_神经_脊髓炎,float64,2,64679,81.2,quantitative
acr_神经_脑血管,float64,2,64286,80.71,quantitative
acr_肌炎,float64,2,58630,73.6,quantitative
acr_肾脏管型,float64,0,79655,100.0,quantitative
acr_肾脏蛋白尿,float64,2,15491,19.45,quantitative
acr_肾脏血尿,float64,2,69716,87.52,quantitative
acr_蝶形红斑,float64,2,64679,81.2,quantitative
acr_血小板减少,float64,2,7305,9.17,quantitative
acr_非瘢痕性脱发,float64,2,64679,81.2,quantitative
sledai_低补体,float64,2,20482,25.71,quantitative
sledai_关节炎,float64,2,64679,81.2,quantitative
sledai_发热,float64,2,64679,81.2,quantitative
sledai_器质性脑病,float64,2,64280,80.7,quantitative
sledai_心包炎,float64,2,61894,77.7,quantitative
sledai_总分,float64,47,1755,2.2,quantitative
sledai_抗dsDNA,float64,2,47759,59.96,quantitative
sledai_新发皮疹,float64,2,64679,81.2,quantitative
sledai_狼疮头痛,float64,2,64679,81.2,quantitative
sledai_癫痫,float64,2,64679,81.2,quantitative
sledai_白细胞减少,float64,2,7299,9.16,quantitative
sledai_管型尿,float64,0,79655,100.0,quantitative
sledai_精神症状,float64,2,64679,81.2,quantitative
sledai_肌炎,float64,2,58630,73.6,quantitative
sledai_胸膜炎,float64,2,62701,78.72,quantitative
sledai_脑血管意外,float64,2,64286,80.71,quantitative
sledai_脓尿,float64,2,72429,90.93,quantitative
sledai_脱发,float64,2,64679,81.2,quantitative
sledai_蛋白尿,float64,2,15491,19.45,quantitative
sledai_血小板减少,float64,2,7305,9.17,quantitative
sledai_血尿,float64,2,69716,87.52,quantitative
sledai_血管炎,float64,2,64679,81.2,quantitative
sledai_视觉障碍,float64,2,64679,81.2,quantitative
sledai_颅神经病变,float64,2,64674,81.19,quantitative
sledai_黏膜溃疡,float64,2,64679,81.2,quantitative
α1微球蛋白_α1_MG__尿液_定性,object,16,78090,98.04,qualitative
α1微球蛋白_α1_MG__尿液_定量,float64,1539,74852,93.97,quantitative
α1球蛋白百分比_α1_GLO%__静脉血_定量,float64,127,71991,90.38,quantitative
α2球蛋白百分比_α2_GLO%__静脉血_定量,float64,259,71991,90.38,quantitative
β2微球蛋白_β2_MG__尿液_定性,object,11,78497,98.55,qualitative
β2微球蛋白_β2_MG__尿液_定量,float64,1149,76916,96.56,quantitative
β球蛋白百分比_β_GLO%__静脉血_定量,float64,187,71991,90.38,quantitative
γ_谷氨酰基转移酶_GGT__静脉血_定性,object,12,79178,99.4,qualitative
γ_谷氨酰基转移酶_GGT__静脉血_定量,float64,680,16667,20.92,quantitative
γ球蛋白百分比_γ_GLO%__静脉血_定量,float64,463,71991,90.38,quantitative
中性粒细胞胞浆抗体核周型_pANCA__静脉血_定性,object,1,79235,99.47,qualitative
中性粒细胞胞浆抗体胞浆型_cANCA__静脉血_定性,object,1,79265,99.51,qualitative
乳酸_Lact__动脉血_定量,float64,52,79144,99.36,quantitative
二氧化碳分压_PaCO2__动脉血_定量,float64,294,77828,97.71,quantitative
人类白细胞抗原B27_HLA_B27__静脉血_定性,object,6,79367,99.64,qualitative
估算肾小球滤过率_CKD_EPI公式__静脉血_定量,float64,1373,60516,75.97,quantitative
体重,float64,185,71710,90.03,quantitative
促甲状腺素受体抗体_TRAb__静脉血_定量,float64,151,79419,99.7,quantitative
免疫抑制剂,object,100,55512,69.69,qualitative
免疫球蛋白κ轻链_Kappa__尿液_定性,object,2,79631,99.97,qualitative
免疫球蛋白κ轻链_Kappa__尿液_定量,float64,233,79394,99.67,quantitative
免疫球蛋白κ轻链_Kappa__静脉血_定量,float64,280,79332,99.59,quantitative
免疫球蛋白λ轻链_Lambda__静脉血_定量,float64,283,79333,99.6,quantitative
凝血酶原国际标准化比值_PT_INR__静脉血_定量,float64,334,66612,83.63,quantitative
凝血酶原时间_PT__静脉血_定性,object,2,79652,100.0,qualitative
凝血酶原时间_PT__静脉血_定量,float64,335,66612,83.63,quantitative
凝血酶原时间活动度_PTA__静脉血_定量,float64,185,68721,86.27,quantitative
凝血酶时间_TT__静脉血_定性,object,6,79644,99.99,qualitative
凝血酶时间_TT__静脉血_定量,float64,187,70883,88.99,quantitative
单个核细胞百分比_MN%__脑脊液_定量,float64,72,79465,99.76,quantitative
单核细胞计数_Mono#__静脉血_定量,float64,296,7355,9.23,quantitative
叶酸_FA__静脉血_定性,object,3,79358,99.63,qualitative
叶酸_FA__静脉血_定量,float64,1470,77010,96.68,quantitative
吸烟史,float64,2,28117,35.3,quantitative
嗜碱性粒细胞计数_Baso#__静脉血_定量,float64,36,19396,24.35,quantitative
嗜酸性粒细胞计数_Eos#__静脉血_定量,float64,207,14064,17.66,quantitative
多个核细胞百分比_PMN%__脑脊液_定量,float64,72,79479,99.78,quantitative
天门冬氨酸氨基转移酶_AST__静脉血_定量,float64,432,21165,26.57,quantitative
寡克隆区带_OCB__脑脊液_定性,object,2,79645,99.99,qualitative
尿胆原_URO__尿液_定性,object,16,15506,19.47,qualitative
尿酸_UA__静脉血_定量,float64,690,69204,86.88,quantitative
巨细胞病毒抗体IgG_CMV_IgG__静脉血_定性,object,6,79225,99.46,qualitative
总细胞计数_脑脊液_定量,float64,70,79410,99.69,quantitative
总胆固醇_TC__静脉血_定量,float64,960,67057,84.18,quantitative
总胆红素_TBIL__静脉血_定性,object,2,79644,99.99,qualitative
总胆红素_TBIL__静脉血_定量,float64,676,20187,25.34,quantitative
总蛋白_TP__尿液_定性,object,20,17728,22.26,qualitative
总蛋白_TP__静脉血_定性,object,17,79638,99.98,qualitative
总蛋白_TP__静脉血_定量,float64,685,20185,25.34,quantitative
总钙_Ca__静脉血_定量,float64,161,55762,70.0,quantitative
抗SSA_Ro_抗体IgG_静脉血_定性,object,1,79273,99.52,qualitative
抗SSA_Ro_抗体_静脉血_定性,object,22,67021,84.14,qualitative
抗SSB_La_抗体_静脉血_定性,object,19,67910,85.26,qualitative
抗Scl_70抗体_静脉血_定性,object,11,68785,86.35,qualitative
抗Sm抗体_静脉血_定性,object,20,67751,85.06,qualitative
抗U1_RNP_Sm抗体_静脉血_定性,object,11,77681,97.52,qualitative
抗U1核糖核蛋白抗体_U1_RNP__静脉血_定性,object,43,68633,86.16,qualitative
抗β2糖蛋白1抗体IgG_β2_GP1_IgG__静脉血_定性,object,2,79251,99.49,qualitative
抗β2糖蛋白1抗体IgG_β2_GP1_IgG__静脉血_定量,float64,948,77496,97.29,quantitative
抗β2糖蛋白1抗体IgM_β2_GP1_IgM__静脉血_定性,object,2,78685,98.78,qualitative
抗β2糖蛋白1抗体IgM_β2_GP1_IgM__静脉血_定量,float64,250,78810,98.94,quantitative
抗人球蛋白试验_Coombs__静脉血_定性,object,17,79638,99.98,qualitative
抗双链DNA抗体_dsDNA__静脉血_定性,object,21,62158,78.03,qualitative
抗双链DNA抗体_dsDNA__静脉血_定量,float64,3637,72929,91.56,quantitative
抗增殖细胞核抗原抗体_PCNA__静脉血_定性,object,9,72718,91.29,qualitative
抗天疱疮抗体_静脉血_定性,object,1,79653,100.0,qualitative
抗心磷脂抗体IgA_ACL_IgA__静脉血_定性,object,8,77392,97.16,qualitative
抗心磷脂抗体IgA_ACL_IgA__静脉血_定量,float64,352,78021,97.95,quantitative
抗心磷脂抗体IgG_ACL_IgG__静脉血_定性,object,8,77210,96.93,qualitative
抗心磷脂抗体IgG_ACL_IgG__静脉血_定量,float64,601,77663,97.5,quantitative
抗心磷脂抗体IgM_ACL_IgM__静脉血_定性,object,9,77227,96.95,qualitative
抗心磷脂抗体IgM_ACL_IgM__静脉血_定量,float64,275,78030,97.96,quantitative
抗核小体抗体_AnuA__静脉血_定性,object,11,70784,88.86,qualitative
抗核抗体_ANA__静脉血_定性,object,497,55117,69.19,qualitative
抗核糖体P蛋白抗体_rRNP__静脉血_定性,object,11,68335,85.79,qualitative
抗核糖体蛋白gp210抗体_静脉血_定性,object,5,79354,99.62,qualitative
抗甲状腺球蛋白抗体_TGAb__静脉血_定性,object,4,79397,99.68,qualitative
抗甲状腺球蛋白抗体_TGAb__静脉血_定量,float64,2501,74618,93.68,quantitative
抗线粒体抗体M2型_AMA_M2__静脉血_定性,object,15,68503,86.0,qualitative
抗组蛋白抗体_AHA__静脉血_定性,object,11,68171,85.58,qualitative
抗肾小球基底膜抗体_GBM__静脉血_定性,object,2,79312,99.57,qualitative
抗链球菌溶血素O_ASO__静脉血_定性,object,6,77425,97.2,qualitative
抗链球菌溶血素O_ASO__静脉血_定量,float64,2087,67465,84.7,quantitative
梅毒螺旋体特异性抗体_TP_Ab__静脉血_定性,object,1,79635,99.97,qualitative
梅毒螺旋体特异性抗体颗粒凝集试验_TPPA__静脉血_定性,object,3,79202,99.43,qualitative
梅毒非特异性抗体快速血浆反应素试验_RPR__静脉血_定性,object,22,79369,99.64,qualitative
死亡,int64,2,0,0.0,quantitative
比重_SG__尿液_定性,object,8,79590,99.92,qualitative
氧分压_PaO2__动脉血_定量,float64,558,77828,97.71,quantitative
氯离子_Cl___静脉血_定性,object,2,79638,99.98,qualitative
氯离子_Cl___静脉血_定量,float64,341,51841,65.08,quantitative
活化部分凝血活酶时间_APTT__静脉血_定性,object,2,79638,99.98,qualitative
活化部分凝血活酶时间_APTT__静脉血_定量,float64,690,66612,83.63,quantitative
淋巴细胞计数_Lymph#__静脉血_定量,float64,670,7337,9.21,quantitative
游离三碘甲状腺原氨酸_FT3__静脉血_定性,object,4,79455,99.75,qualitative
游离三碘甲状腺原氨酸_FT3__静脉血_定量,float64,581,72748,91.33,quantitative
游离甲状腺素_FT4__静脉血_定性,object,4,79609,99.94,qualitative
游离甲状腺素_FT4__静脉血_定量,float64,1256,72604,91.15,quantitative
激素,int64,2,0,0.0,quantitative
狼疮抗凝物标准化比值_LAC_NLR__静脉血_定性,object,2,79653,100.0,qualitative
狼疮抗凝物标准化比值_LAC_NLR__静脉血_定量,float64,293,76911,96.56,quantitative
甘油三酯_TG__静脉血_定量,float64,679,67052,84.18,quantitative
生物制剂,object,8,78765,98.88,qualitative
生理管型_镜检__尿液_定量,float64,532,33256,41.75,quantitative
白细胞_镜检__尿液_定性,object,63,72427,90.93,qualitative
白细胞介素_10_IL_10__静脉血_定性,object,6,79241,99.48,qualitative
白细胞介素_10_IL_10__静脉血_定量,float64,855,78187,98.16,quantitative
白细胞介素_17A_IL_17A__静脉血_定性,object,12,78491,98.54,qualitative
白细胞介素_17A_IL_17A__静脉血_定量,float64,424,79125,99.33,quantitative
白细胞介素_17_IL_17__静脉血_定量,float64,11,79643,99.98,quantitative
白细胞介素_2_IL_2__静脉血_定性,object,19,78417,98.45,qualitative
白细胞介素_2_IL_2__静脉血_定量,float64,466,79015,99.2,quantitative
白细胞介素_4_IL_4__静脉血_定性,object,20,78467,98.51,qualitative
白细胞介素_4_IL_4__静脉血_定量,float64,397,79080,99.28,quantitative
白细胞介素_6_IL_6__静脉血_定性,object,20,79046,99.24,qualitative
白细胞介素_6_IL_6__静脉血_定量,float64,1582,76648,96.22,quantitative
白细胞介素_IL__静脉血_定性,object,16,79538,99.85,qualitative
白细胞介素_IL__静脉血_定量,float64,48,79600,99.93,quantitative
白细胞计数_WBC#__静脉血_定量,float64,2129,7299,9.16,quantitative
白蛋白_ALB__静脉血_定量,float64,567,18918,23.75,quantitative
直接抗人球蛋白试验_直接Coombs__静脉血_定性,object,2,79616,99.95,qualitative
直接胆红素_DBIL__静脉血_定性,object,3,79613,99.95,qualitative
直接胆红素_DBIL__静脉血_定量,float64,339,76203,95.67,quantitative
磷_P__静脉血_定性,object,1,79652,100.0,qualitative
磷_P__静脉血_定量,float64,312,55808,70.06,quantitative
类风湿因子_RF__静脉血_定性,object,4,73998,92.9,qualitative
类风湿因子_RF__静脉血_定量,float64,1437,64492,80.96,quantitative
粒细胞计数_静脉血_定量,float64,1918,7340,9.21,quantitative
红细胞_镜检__尿液_定性,object,73,69716,87.52,qualitative
红细胞_镜检__粪便_定性,object,21,74736,93.82,qualitative
红细胞计数_RBC#__静脉血_定量,float64,575,7317,9.19,quantitative
维生素B12_VitB12__静脉血_定性,object,4,79591,99.92,qualitative
维生素B12_VitB12__静脉血_定量,float64,1766,76798,96.41,quantitative
网织红细胞计数_RET#__静脉血_定量,float64,1280,77361,97.12,quantitative
肌酐_Crea__静脉血_定量,float64,764,20914,26.26,quantitative
肌酸激酶_CK__静脉血_定性,object,4,79550,99.87,qualitative
肌酸激酶_CK__静脉血_定量,float64,562,66487,83.47,quantitative
肿瘤坏死因子_TNF__静脉血_定量,float64,40,79608,99.94,quantitative
肿瘤坏死因子α_TNF_α__静脉血_定性,object,17,78412,98.44,qualitative
肿瘤坏死因子α_TNF_α__静脉血_定量,float64,468,79070,99.27,quantitative
胆红素_BIL__尿液_定性,object,10,19230,24.14,qualitative
胱抑素_Cys_C__静脉血_定量,float64,740,42639,53.53,quantitative
葡萄糖_Glu__尿液_定性,object,16,19128,24.01,qualitative
血小板计数_PLT#__静脉血_定量,float64,619,7305,9.17,quantitative
血红蛋白_Hb__静脉血_定量,float64,175,7304,9.17,quantitative
补体C1q抗体_C1q_Ab__静脉血_定性,object,2,79634,99.97,qualitative
补体C1q抗体_C1q_Ab__静脉血_定量,float64,160,79408,99.69,quantitative
补体C3_静脉血_定性,object,1,79641,99.98,qualitative
补体C3_静脉血_定量,float64,199,20492,25.73,quantitative
补体C4_静脉血_定性,object,7,79190,99.42,qualitative
补体C4_静脉血_定量,float64,78,20916,26.26,quantitative
西罗莫司血药浓度_静脉血_定量,float64,95,79559,99.88,quantitative
身高,float64,71,74871,93.99,quantitative
转铁蛋白_TRF__静脉血_定量,float64,228,78949,99.11,quantitative
酸碱度_pH__动脉血_定量,float64,260,77828,97.71,quantitative
钠离子_Na+__静脉血_定量,float64,313,51841,65.08,quantitative
钾离子_K+__静脉血_定量,float64,437,51744,64.96,quantitative
铁_Fe__静脉血_定量,float64,290,77549,97.36,quantitative
铁蛋白_Ferr__静脉血_定性,object,3,79456,99.75,qualitative
铁蛋白_Ferr__静脉血_定量,float64,3276,74876,94.0,quantitative
间接胆红素_IBIL__静脉血_定量,float64,56,79583,99.91,quantitative
降钙素原_PCT__静脉血_定性,object,4,79361,99.63,qualitative
降钙素原_PCT__静脉血_定量,float64,754,76144,95.59,quantitative
风疹病毒抗体IgG_RV_IgG__静脉血_定性,object,3,79589,99.92,qualitative
风疹病毒抗体IgM_RV_IgM__静脉血_定性,object,6,79043,99.23,qualitative
饮酒史,float64,2,28117,35.3,quantitative
高密度脂蛋白胆固醇_HDL_C__静脉血_定量,float64,364,67087,84.22,quantitative
