Biomarker,N_obs,N_patients,Intercept,Time_slope,APS_effect,Time_APS_interaction,Time_pval,APS_pval,Interaction_pval,Interaction_p_adj
C3,45296,8118,0.7925366302825309,0.01736595117400025,0.03526663769359846,0.004734519603807766,0.0,0.0002959042538853442,8.420204448639305e-06,2.947071557023757e-05
C4,44993,8092,0.15073746385928977,0.0038167011473255134,9.07524284390731e-05,0.0015172774164308898,8.154917772635119e-268,0.9755024034711055,5.854544139157353e-07,4.098180897410147e-06
APTT,8997,4054,36.943809077035816,-0.4972978499536844,5.315249324184313,-0.15346252589567788,2.9960985739300566e-36,3.171847573848418e-30,0.05236426071906576,0.061091637505576724
PLT,55371,8529,206.38899259275985,0.9184008553881575,-8.471832494283815,-0.9947454186608836,3.011440816023781e-25,0.0037018420150263533,3.181398269865955e-05,7.423262629687229e-05
Hb,55372,8529,122.23322033915868,0.36951834760762803,-2.742338723518595,-0.257179961115852,7.681129044508075e-51,0.0001712709507591265,0.00011242063261276294,0.00019673610707233514
CRP,26483,6631,10.004291645290339,-0.1933329467746542,1.1271109353958684,-0.01443589655815061,0.00012768627852394968,0.1412612661340859,0.9112102933887912,0.9112102933887912
SLEDAI,45301,8118,0.740295812971347,-0.02236225306150894,-0.029878618958972435,-0.00411275926504887,1.3164497806710851e-194,0.05472397245179916,0.04875673016990453,0.061091637505576724
